filename	xmlid	author	title	firstedition	language	gender	size	reprints	timeslot	authorid	printedition	pubplace
SLV00024	SLV00024	Bedenek, Jakob	Od pluga do krone : edicija ELTeC	NA	sl	M	medium	NA	T3	viaf:84381657	1891	NA
SLV00048	SLV00048	Govekar, Fran	V krvi : edicija ELTeC	NA	sl	M	medium	NA	T3	viaf:51812691	1896	NA
SLV00058	SLV00058	Kersnik, Janko	Ciklamen : edicija ELTeC	NA	sl	M	short	NA	T3	viaf:34746806	1883	NA
SLV00072	SLV00072	Meško, Ksaver	Kam plovemo : edicija ELTeC	NA	sl	M	medium	NA	T3	viaf:62359223	1897	NA
SLV00090	SLV00090	Štrukelj, Ivan	Spletke : edicija ELTeC	NA	sl	M	short	NA	T3	conor:311191651	1894	NA
SLV00092	SLV00092	Štrukelj, Ivan	Zmota in povrat : edicija ELTeC	NA	sl	M	short	NA	T3	conor:311191651	1892	NA
SLV00094	SLV00094	Bartel, Anton	Pomladanski vetrovi : edicija ELTeC	NA	sl	M	medium	NA	T3	viaf:10824798	1881	NA
